🛰港澳,#genre#
CCTV13,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-13-HQ

CCTV14,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-cctv14

CCTV15,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-15

CCTV16,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-16-CQ

CCTV16(4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-16-4K

CCTV17,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-17-HD

CCTV怀旧剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HUAIJIUJC-CQ

CCTV风云足球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FENGSHANGZQ-CQ

CCTV风云音乐,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FENGYUNYY-CQ

CCTV风云剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FENGYUNJC-CQ

CCTV央视台球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TAIQIU-CQ

CCTV世界地理,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHIJIEDL-CQ

CCTV兵器科技,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BINGQIKJ-CQ

CCTV女性时尚,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NVXINGSS-CQ

CCTV高尔网球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-GOLF-CQ

CCTV央视文化,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-WENHUA-CQ

CCTV电视指南,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_DIANSHIZN-CQ

CGTN,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-NEWS

早期教育,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-ZQJY-CQ

CETV-1,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-1

CETV-2,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-2

CETV-3,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-3

CETV-4,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CETV-4

江苏卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JIANGSU-HD-265-5M

湖南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HUNAN-HD-265-8M

浙江卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ZHEJIANG-HD-265-8M

东方卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_DONGFANG-HD-265-8M

北京卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BEIJING-HD-265-8M

安徽卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ANHUI-HD-265-8M

广东卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_GUANGDONG-HQ

黑龙江卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HEILONGJIANG-HQ

湖北卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HUBEI-HD-265-8M

辽宁卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=7ug73p2tj7ecw9a9

山东卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHANDONG-HQ

深圳卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHENZHEN-HQ

天津卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_TIANJIN-HD-265-5M

甘肃卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_GANSU

重庆卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-chongqingstv

广西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GXWS

